Item,Type,Group,Typ_Order,DefType,Antecedent,Context_Sent_TR,Sentence,Con_file,Sen_file,I1,I1_Width,I1_Height,I1_Category,I1_Noun_DE,I1_Category_EN,I1_Noun_EN,I2_2,I2_2_Width,I2_2_Height,I2_2_Category,I2_2_Noun_DE,I2,I2_Width,I2_Height,I2_Category,I2_Noun_DE,I3,I3_Width,I3_Height,I3_Category,I3_Noun_DE,I4_2,I4_2_Width,I4_2_Height,I4_2_Category,I4_2_Noun_DE,I4,I4_Width,I4_Height,I4_Category,I4_Noun_DE,I5,I5_Width,I5_Height,I6,I6_Width,I6_Height
1,critical,A,Typ_Atyp,weak,Ant_1,"Hmm, bakalım ne varmış burada? Bir kek bir de kurabiye.",Bana keki verebilir misin rica etsem?,Item1ConTR.mp3,Item1SenTR.mp3,cake1.jpeg,225,225,baked goods,cake,baked goods,cake,cake2.jpeg,225,225,baked goods,cake,cookie1.jpeg,300,300,baked goods,cookie,sup-animal-4.jpg,177,200,animals,rabbit,sup-animal-3.jpg,200,167,animals,cow,sup-animal-5.jpg,167,200,animals,deer,truck2.jpeg,259,194,contrast-desk_lamp-1.jpg,103,200
1,critical,B,Atyp_Typ,strong,Ant_1,"Hmm, bakalım ne varmış burada? Bir kek bir de kurabiye.",Bana keki verebilir misin rica etsem?,Item1ConTR.mp3,Item1SenTR.mp3,cake2.jpeg,225,225,baked goods,cake,baked goods,cake,cake1.jpeg,225,225,baked goods,cake,cookie2.jpeg,300,300,baked goods,cookie,sup-animal-4.jpg,177,200,animals,rabbit,sup-animal-3.jpg,200,167,animals,cow,sup-animal-5.jpg,167,200,animals,deer,truck2.jpeg,259,194,contrast-desk_lamp-1.jpg,103,200
1,critical,C,Typ_Atyp,strong,Ant_1,"Hmm, bakalım ne varmış burada? Bir kek bir de kurabiye.",Bana keki verebilir misin rica etsem?,Item1ConTR.mp3,Item1SenTR.mp3,cake1.jpeg,225,225,baked goods,cake,baked goods,cake,cake2.jpeg,225,225,baked goods,cake,cookie1.jpeg,300,300,baked goods,cookie,sup-animal-4.jpg,177,200,animals,rabbit,sup-animal-3.jpg,200,167,animals,cow,sup-animal-5.jpg,167,200,animals,deer,truck2.jpeg,259,194,contrast-desk_lamp-1.jpg,103,200
1,critical,D,Atyp_Typ,weak,Ant_1,"Hmm, bakalım ne varmış burada? Bir kek bir de kurabiye.",Bana keki verebilir misin rica etsem?,Item1ConTR.mp3,Item1SenTR.mp3,cake2.jpeg,225,225,baked goods,cake,baked goods,cake,cake1.jpeg,225,225,baked goods,cake,cookie2.jpeg,300,300,baked goods,cookie,sup-animal-4.jpg,177,200,animals,rabbit,sup-animal-3.jpg,200,167,animals,cow,sup-animal-5.jpg,167,200,animals,deer,truck2.jpeg,259,194,contrast-desk_lamp-1.jpg,103,200
2,critical,D,Typ_Atyp,weak,Ant_2,"Hmm, bakalım ne varmış burada? Bir ekmek bir de kurabiye.",Bana kurabiyeyi verebilir misin rica etsem?,Item2ConTR.mp3,Item2SenTR.mp3,cookie1.jpeg,300,300,baked goods,cookie,baked goods,cookie,cookie2.jpeg,300,300,baked goods,cookie,bread2.jpeg,300,168,baked goods,bread,sup-electronics-4.jpg,192,200,devices,radio,sup-electronics-5.jpg,200,125,devices,microwave,sub-smart_phone-2.jpg,200,144,devices,cell phone,sup-vehicle-5.jpg,200,145,basic-dog-1.jpg,200,148
2,critical,C,Atyp_Typ,strong,Ant_2,"Hmm, bakalım ne varmış burada? Bir ekmek bir de kurabiye.",Bana kurabiyeyi verebilir misin rica etsem?,Item2ConTR.mp3,Item2SenTR.mp3,cookie2.jpeg,300,300,baked goods,cookie,baked goods,cookie,cookie1.jpeg,300,300,baked goods,cookie,bread1.jpeg,300,168,baked goods,bread,sup-electronics-4.jpg,192,200,devices,radio,sup-electronics-5.jpg,200,125,devices,microwave,sub-smart_phone-2.jpg,200,144,devices,cell phone,sup-vehicle-5.jpg,200,145,basic-dog-1.jpg,200,148
2,critical,B,Typ_Atyp,strong,Ant_2,"Hmm, bakalım ne varmış burada? Bir ekmek bir de kurabiye.",Bana kurabiyeyi verebilir misin rica etsem?,Item2ConTR.mp3,Item2SenTR.mp3,cookie1.jpeg,300,300,baked goods,cookie,baked goods,cookie,cookie2.jpeg,300,300,baked goods,cookie,bread2.jpeg,300,168,baked goods,bread,sup-electronics-4.jpg,192,200,devices,radio,sup-electronics-5.jpg,200,125,devices,microwave,sub-smart_phone-2.jpg,200,144,devices,cell phone,sup-vehicle-5.jpg,200,145,basic-dog-1.jpg,200,148
2,critical,A,Atyp_Typ,weak,Ant_2,"Hmm, bakalım ne varmış burada? Bir ekmek bir de kurabiye.",Bana kurabiyeyi verebilir misin rica etsem?,Item2ConTR.mp3,Item2SenTR.mp3,cookie2.jpeg,300,300,baked goods,cookie,baked goods,cookie,cookie1.jpeg,300,300,baked goods,cookie,bread1.jpeg,300,168,baked goods,bread,sup-electronics-4.jpg,192,200,devices,radio,sup-electronics-5.jpg,200,125,devices,microwave,sub-smart_phone-2.jpg,200,144,devices,cell phone,sup-vehicle-5.jpg,200,145,basic-dog-1.jpg,200,148
3,critical,A,Typ_Atyp,weak,Ant_2,"Hmm, bakalım ne varmış burada? Bir kek bir de ekmek.",Bana ekmeği verebilir misin rica etsem?,Item3ConTR.mp3,Item3SenTR.mp3,bread1.jpeg,300,168,baked goods,bread,baked goods,bread,bread2.jpeg,300,168,baked goods,bread,cake1.jpeg,225,225,baked goods,cake,basic-chair-1.jpg,200,184,furniture,armchair,contrast-office_chair-1.jpg,142,200,furniture,chair,sup-furniture-4.jpg,200,130,furniture,dresser,sup-vegetable-4.jpg,200,138,basic-car-2.jpg,200,137
3,critical,B,Atyp_Typ,strong,Ant_2,"Hmm, bakalım ne varmış burada? Bir kek bir de ekmek.",Bana ekmeği verebilir misin rica etsem?,Item3ConTR.mp3,Item3SenTR.mp3,bread2.jpeg,300,168,baked goods,bread,baked goods,bread,bread1.jpeg,300,168,baked goods,bread,cake2.jpeg,225,225,baked goods,cake,basic-chair-1.jpg,200,184,furniture,armchair,contrast-office_chair-1.jpg,142,200,furniture,chair,sup-furniture-4.jpg,200,130,furniture,dresser,sup-vegetable-4.jpg,200,138,basic-car-2.jpg,200,137
3,critical,C,Typ_Atyp,strong,Ant_2,"Hmm, bakalım ne varmış burada? Bir kek bir de ekmek.",Bana ekmeği verebilir misin rica etsem?,Item3ConTR.mp3,Item3SenTR.mp3,bread1.jpeg,300,168,baked goods,bread,baked goods,bread,bread2.jpeg,300,168,baked goods,bread,cake1.jpeg,225,225,baked goods,cake,basic-chair-1.jpg,200,184,furniture,armchair,contrast-office_chair-1.jpg,142,200,furniture,chair,sup-furniture-4.jpg,200,130,furniture,dresser,sup-vegetable-4.jpg,200,138,basic-car-2.jpg,200,137
3,critical,D,Atyp_Typ,weak,Ant_2,"Hmm, bakalım ne varmış burada? Bir kek bir de ekmek.",Bana ekmeği verebilir misin rica etsem?,Item3ConTR.mp3,Item3SenTR.mp3,bread2.jpeg,300,168,baked goods,bread,baked goods,bread,bread1.jpeg,300,168,baked goods,bread,cake2.jpeg,225,225,baked goods,cake,basic-chair-1.jpg,200,184,furniture,armchair,contrast-office_chair-1.jpg,142,200,furniture,chair,sup-furniture-4.jpg,200,130,furniture,dresser,sup-vegetable-4.jpg,200,138,basic-car-2.jpg,200,137
4,critical,D,Typ_Atyp,weak,Ant_1,"Hmm, bakalım ne varmış burada? Bir araba bir de kamyon.",Bana arabayı verebilir misin rica etsem?,Item4ConTR.mp3,Item4SenTR.mp3,car1.jpeg,300,300,vehicles,car,vehicles,car,car2.jpeg,300,300,vehicles,car,truck1.jpeg,259,194,vehicles,truck,1contrast-green_apple.jpg,200,200,fruit,apple,sup-fruit-1.jpg,196,200,fruit,watermelon,sup-fruit-2.jpg,195,200,fruit,strawberry,sup-vegetable-3.jpg,190,110,basic-dog-3.jpg,200,154
4,critical,C,Atyp_Typ,strong,Ant_1,"Hmm, bakalım ne varmış burada? Bir araba bir de kamyon.",Bana arabayı verebilir misin rica etsem?,Item4ConTR.mp3,Item4SenTR.mp3,car2.jpeg,300,300,vehicles,car,vehicles,car,car1.jpeg,300,300,vehicles,car,truck2.jpeg,259,194,vehicles,truck,1contrast-green_apple.jpg,200,200,fruit,apple,sup-fruit-1.jpg,196,200,fruit,watermelon,sup-fruit-2.jpg,195,200,fruit,strawberry,sup-vegetable-3.jpg,190,110,basic-dog-3.jpg,200,154
4,critical,B,Typ_Atyp,strong,Ant_1,"Hmm, bakalım ne varmış burada? Bir araba bir de kamyon.",Bana arabayı verebilir misin rica etsem?,Item4ConTR.mp3,Item4SenTR.mp3,car1.jpeg,300,300,vehicles,car,vehicles,car,car2.jpeg,300,300,vehicles,car,truck1.jpeg,259,194,vehicles,truck,1contrast-green_apple.jpg,200,200,fruit,apple,sup-fruit-1.jpg,196,200,fruit,watermelon,sup-fruit-2.jpg,195,200,fruit,strawberry,sup-vegetable-3.jpg,190,110,basic-dog-3.jpg,200,154
4,critical,A,Atyp_Typ,weak,Ant_1,"Hmm, bakalım ne varmış burada? Bir araba bir de kamyon.",Bana arabayı verebilir misin rica etsem?,Item4ConTR.mp3,Item4SenTR.mp3,car2.jpeg,300,300,vehicles,car,vehicles,car,car1.jpeg,300,300,vehicles,car,truck2.jpeg,259,194,vehicles,truck,1contrast-green_apple.jpg,200,200,fruit,apple,sup-fruit-1.jpg,196,200,fruit,watermelon,sup-fruit-2.jpg,195,200,fruit,strawberry,sup-vegetable-3.jpg,190,110,basic-dog-3.jpg,200,154
5,critical,A,Typ_Atyp,weak,Ant_1,"Hmm, bakalım ne varmış burada? Bir kamyon bir de otobüs.",Bana kamyonu verebilir misin rica etsem?,Item5ConTR.mp3,Item5SenTR.mp3,truck1.jpeg,259,194,vehicles,truck,vehicles,truck,truck2.jpeg,259,194,vehicles,truck,bus2.jpeg,440,405,vehicles,bus,sup-light-2.jpg,200,196,lights,spotlight,basic-lamp-1.jpg,182,200,lights,wall light,basic-lamp-2.jpg,162,200,lights,ceiling light,sup-electronics-5.jpg,200,125,contrast-flip_phone-1.jpg,164,200
5,critical,B,Atyp_Typ,strong,Ant_1,"Hmm, bakalım ne varmış burada? Bir kamyon bir de otobüs.",Bana kamyonu verebilir misin rica etsem?,Item5ConTR.mp3,Item5SenTR.mp3,truck2.jpeg,259,194,vehicles,truck,vehicles,truck,truck1.jpeg,259,194,vehicles,truck,bus1.jpeg,276,183,vehicles,bus,sup-light-2.jpg,200,196,lights,spotlight,basic-lamp-1.jpg,182,200,lights,wall light,basic-lamp-2.jpg,162,200,lights,ceiling light,sup-electronics-5.jpg,200,125,contrast-flip_phone-1.jpg,164,200
5,critical,C,Typ_Atyp,strong,Ant_1,"Hmm, bakalım ne varmış burada? Bir kamyon bir de otobüs.",Bana kamyonu verebilir misin rica etsem?,Item5ConTR.mp3,Item5SenTR.mp3,truck1.jpeg,259,194,vehicles,truck,vehicles,truck,truck2.jpeg,259,194,vehicles,truck,bus2.jpeg,440,405,vehicles,bus,sup-light-2.jpg,200,196,lights,spotlight,basic-lamp-1.jpg,182,200,lights,wall light,basic-lamp-2.jpg,162,200,lights,ceiling light,sup-electronics-5.jpg,200,125,contrast-flip_phone-1.jpg,164,200
5,critical,D,Atyp_Typ,weak,Ant_1,"Hmm, bakalım ne varmış burada? Bir kamyon bir de otobüs.",Bana kamyonu verebilir misin rica etsem?,Item5ConTR.mp3,Item5SenTR.mp3,truck2.jpeg,259,194,vehicles,truck,vehicles,truck,truck1.jpeg,259,194,vehicles,truck,bus1.jpeg,276,183,vehicles,bus,sup-light-2.jpg,200,196,lights,spotlight,basic-lamp-1.jpg,182,200,lights,wall light,basic-lamp-2.jpg,162,200,lights,ceiling light,sup-electronics-5.jpg,200,125,contrast-flip_phone-1.jpg,164,200
6,critical,D,Typ_Atyp,weak,Ant_2,"Hmm, bakalım ne varmış burada? Bir araba bir de otobüs.",Bana otobüsü verebilir misin rica etsem?,Item6ConTR.mp3,Item6SenTR.mp3,bus1.jpeg,276,183,vehicles,bus,vehicles,bus,bus2.jpeg,440,405,vehicles,bus,car1.jpeg,300,300,vehicles,car,sup-vegetable-3.jpg,190,110,vegetables,corn,sup-vegetable-2.jpg,200,190,vegetables,root vegetable,sup-vegetable-5.jpg,200,132,vegetables,broccoli,sup-light-2.jpg,200,196,contrast-triceratops-1.jpg,200,176
6,critical,C,Atyp_Typ,strong,Ant_2,"Hmm, bakalım ne varmış burada? Bir araba bir de otobüs.",Bana otobüsü verebilir misin rica etsem?,Item6ConTR.mp3,Item6SenTR.mp3,bus2.jpeg,440,405,vehicles,bus,vehicles,bus,bus1.jpeg,276,183,vehicles,bus,car2.jpeg,300,300,vehicles,car,sup-vegetable-3.jpg,190,110,vegetables,corn,sup-vegetable-2.jpg,200,190,vegetables,root vegetable,sup-vegetable-5.jpg,200,132,vegetables,broccoli,sup-light-2.jpg,200,196,contrast-triceratops-1.jpg,200,176
6,critical,B,Typ_Atyp,strong,Ant_2,"Hmm, bakalım ne varmış burada? Bir araba bir de otobüs.",Bana otobüsü verebilir misin rica etsem?,Item6ConTR.mp3,Item6SenTR.mp3,bus1.jpeg,276,183,vehicles,bus,vehicles,bus,bus2.jpeg,440,405,vehicles,bus,car1.jpeg,300,300,vehicles,car,sup-vegetable-3.jpg,190,110,vegetables,corn,sup-vegetable-2.jpg,200,190,vegetables,root vegetable,sup-vegetable-5.jpg,200,132,vegetables,broccoli,sup-light-2.jpg,200,196,contrast-triceratops-1.jpg,200,176
6,critical,A,Atyp_Typ,weak,Ant_2,"Hmm, bakalım ne varmış burada? Bir araba bir de otobüs.",Bana otobüsü verebilir misin rica etsem?,Item6ConTR.mp3,Item6SenTR.mp3,bus2.jpeg,440,405,vehicles,bus,vehicles,bus,bus1.jpeg,276,183,vehicles,bus,car2.jpeg,300,300,vehicles,car,sup-vegetable-3.jpg,190,110,vegetables,corn,sup-vegetable-2.jpg,200,190,vegetables,root vegetable,sup-vegetable-5.jpg,200,132,vegetables,broccoli,sup-light-2.jpg,200,196,contrast-triceratops-1.jpg,200,176
7,critical,A,Typ_Atyp,weak,Ant_2,"Hmm, bakalım ne varmış burada? Bir ayakkabı bir de palto.",Bana paltoyu verebilir misin rica etsem?,Item7ConTR.mp3,Item7SenTR.mp3,coat1.jpeg,539,796,clothes,coat,clothes,coat,coat2.jpeg,300,300,clothes,coat,shoe1.jpeg,300,300,clothes,shoe,1contrast-van.jpg,200,128,vehicles,delivery van,sup-vehicle-2.jpg,200,169,vehicles,train,sub-racecar-1.jpg,190,110,vehicles,race car,sup-electronics-4.jpg,192,200,contrast-red_pepper-1.jpg,200,127
7,critical,B,Atyp_Typ,strong,Ant_2,"Hmm, bakalım ne varmış burada? Bir ayakkabı bir de palto.",Bana paltoyu verebilir misin rica etsem?,Item7ConTR.mp3,Item7SenTR.mp3,coat2.jpeg,300,300,clothes,coat,clothes,coat,coat1.jpeg,539,796,clothes,coat,shoe2.jpeg,528,440,clothes,shoe,1contrast-van.jpg,200,128,vehicles,delivery van,sup-vehicle-2.jpg,200,169,vehicles,train,sub-racecar-1.jpg,190,110,vehicles,race car,sup-electronics-4.jpg,192,200,contrast-red_pepper-1.jpg,200,127
